ID,Tên testcase,Tên testsuite common,Mã test suite common,Trạng thái,Các bước thực hiện,Mong muốn
8563,Trường hợp : ứng dụng có chức năng hiển thị thông báo riêng., 3: Notifycation trong chương trình,Suite_common_159,1,"1. Mở ứng dụng lên. Có thông báo từ server về ứng dụng
2. Kiểm tra hiển thị notification","Tùy thuộc vào ĐTYC : 
- Hiển thị icon báo hiệu có thông báo mới hoặc hiển thị con số (số lượng thông báo mới ) trên icon của màn hình thông báo.
- Khi kéo notification center xuống sẽ không hiển thị thông báo trên notification center"
8564,"Trường hợp: các ứng dụng có thông báo mang tính chất quảng cáo hoặc cảnh báo 
", 3: Notifycation trong chương trình,Suite_common_159,1,"1. Mở ứng dụng lên. Có thông báo từ server về ứng dụng
2. Kiểm tra hiển thị notification center",Hiển thị thông báo trên notification center hoặc hiển thị alert thông báo mới ngay trên ứng dụng (tùy thuộc ĐTYC)
8565,"Trường hợp: các ứng dụng có thông báo mang tính chất quảng cáo hoặc cảnh báo 
", 3: Notifycation trong chương trình,Suite_common_159,1,3. Nhấn vào thông báo trên notification center,"Không còn hiển thị thông báo trên notification center
"
8580,Kiểm tra hiển thị Notification khi push về, 3: Notification trong chương trình,Suite_common_159,1,"1. Mở ứng dụng lên. Có Notification từ server về ứng dụng
2.1 Kiểm tra hiển thị Notification 
3. Nhấn vào Notification ","- Hiển thị trên Notification dạng Banner ở đầu màn hình cho người dùng đọc.
(Nếu Notification dài thì hiển thị dấu … ở cuối dòng )
- Hiển thị màn hình chính (hoặc màn hình có chức năng Notification) của ứng dụng"
8581,Kiểm tra hiển thị Notification khi push về, 3: Notification trong chương trình,Suite_common_159,1,"
2.2 Kiểm tra hiển thị Notification trên thanh Notification Bar
3. Nhấn vào Notification ","- Hiển thị Notification trong vùng Notification bar
- Hiển thị màn hình chính (hoặc màn hình có chức năng Notification) của ứng dụng"
8582,Kiểm tra hiển thị Notification Download khi thực hiện download ứng dụng ( đối với các ứng dụng có tính năng download dữ liệu ), 3: Notification trong chương trình,Suite_common_159,1,"1.Mở ứng dụng. Thực hiện download file ( ảnh, video , .. )
2.Kéo thanh Notification Bar xuống và kiểm tra hiển thị ","Hiển thị Notification ứng dụng cần download bao gồm  : 
+ Notification download 
+ Icon app 
+ Progress bar biểu tượng tỉ lệ phần trăm download của ứng dụng (Có cập nhật phần trăm tải theo thời gian )
"
8583,Kiểm tra Notification khi đang thao tác ứng dụng khác, 3: Notification ngoài chương trình,Suite_common_159,1,"1. Không tắt ứng dụng
2. Home màn hình và dùng ứng dụng khác
3. Kiểm tra khi push Notification về","1. Hiển thị Notification trên Notification Header  đủ cho người dùng đọc
2. Các Notification không bị lỗi phông chữ
"
8584,Kiểm tra trường hợp chạm vào Notification khi không ở trong ứng dụng, 3: Notification ngoài chương trình,Suite_common_159,1,"1. Mở ứng dụng
2. Bấm Home key để minimize ứng dụng
3. Có Notification notify của ứng dụng
4. Touch vào Notification khi có Notification mới","4.1. Đối với các ứng dụng có chức năng màn hình hiển thị Notification riêng : mở lại ứng dụng và hiển thị màn hình Notification(hiển thị màn hình nào thì tùy ĐTYC). Thao tác ứng dụng bình thường. 
4.2 Đối với các ứng dụng không có chức năng màn hình Notification :  Mở lại ứng dụng mà không bị crash, hiển thị màn hình cuối cùng khi home ứng dụng xuống. Thao tác ứng dụng bình thường. "
8585,Kiểm tra trường hợp chạm vào Notification khi không ở trong ứng dụng, 3: Notification ngoài chương trình,Suite_common_159,1,5.Nhấn nút Back của thiết bị,"5.Hệ thống tắt ứng dụng, thoát ứng dụng ra ngoài màn hình và không bị crash chương trình"
8586,Kiểm tra trường hợp mở ứng dụng khi touch vào Notification khi đã tắt ứng dụng, 3: Notification ngoài chương trình,Suite_common_159,1,"Đảm bảo thiết bị chưa bị khóa màn hình
Chưa mở ứng dụng, có Notification realtime của ứng dụng
1. Touch vào Notification khi có Notification đến
","1.1. Đối với các ứng dụng có chức năng màn hình hiển thị Notification riêng : mở lại ứng dụng và hiển thị màn hình Notification (hiển thị màn hình nào thì tùy ĐTYC).Thao tác ứng dụng bình thường. 
1.2 Đối với các ứng dụng không có chức năng màn hình Notification :  Mở lại ứng dụng mà không bị crash, hiển thị màn hình chính của ứng dụng. Thao tác ứng dụng bình thường. "
