ID,Tên testcase,Tên testsuite common,Mã test suite common,Trạng thái,Các bước thực hiện,Mong muốn
8771,"Kiểm tra việc đăng ký thành công, nhập các trường có độ dài bằng maxlength", 1: Đăng ký ,Suite_common_207,1,"Đảm bảo hệ thống có kết nối mạng
1.  Nhập các trường có độ dài bằng maxlength vào tất cả các trường
2. Click [Đăng ký]
"," - Hiển thị thông báo đăng ký thành công.
  -  Kiểm tra có thể đăng nhập bằng account đăng ký mới này 
  - ….. 
"
8772,"Kiểm tra việc đăng ký thành công, nhập các trường có độ dài bằng tối thiểu độ dài được phép", 1: Đăng ký ,Suite_common_207,1,"Đảm bảo hệ thống có kết nối mạng
1.  Nhập các trường có độ dài bằng tối thiểu cho phép vào tất cả các trường
2. Click [Đăng ký]
"," - Hiển thị thông báo đăng ký thành công.
  -  Kiểm tra có thể đăng nhập bằng account đăng ký mới này 
  - ….. 
"
8773,"Kiểm tra việc đăng ký thành công, chỉ nhập các trường bắt buộc", 1: Đăng ký ,Suite_common_207,1,"Đảm bảo hệ thống có kết nối mạng
1. Chỉ nhập các trường bắt buộc
2. Click [Đăng ký]
"," - Hiển thị thông báo đăng ký thành công.
  - Kiểm tra có thể đăng nhập bằng account đăng ký mới này 
  - ….. 
"
8774,Kiểm tra đăng ký thành công khi [Tên đăng nhập] cho phép ký tự đặc biệt, 1: Đăng ký ,Suite_common_207,1,"Điều kiện: ĐTYC cho phép user có các ký tự đặc biệt : liệt kê các ký tự đặc biệt ra …..
1. Lần lượt Nhập dữ liệu vào  textbox [Tên đăng nhập]: có chứa các ký tự đặc biệt được phép
2. Nhập các trường khác hợp lệ
3. Click button [Đăng ký]"," - Hiển thị thông báo đăng ký thành công.
  - Kiểm tra có thể đăng nhập bằng account đăng ký mới này 
  - ….. 
"
8775,Kiểm tra chức năng Trim space, 1: Đăng ký ,Suite_common_207,1,"1. Nhập dữ liệu hợp lệ và thêm space vào đầu và cuối  các trường cho phép Trim Space.( hoặc thực hiện copy paste một số có chứa space ở đầu, cuối)
2. Các thông tin khác được nhập hợp lệ
","1. Thực hiện lưu thành công. Kiểm tra lưu đúng như case lưu DB
2. Thực hiện trim space ở đầu và cuối trường dữ liệu


"
8776,Kiểm tra không Trim space ( nếu ĐTYC không trím space trường mật khẩu), 1: Đăng ký ,Suite_common_207,1,"1. Nhập dữ liệu hợp lệ và thêm space vào đầu và cuối  các trường không cho  phép Trim Space
2. Các thông tin khác được nhập hợp lệ
","1. Thực hiện lưu thành công. Kiểm tra lưu đúng như case lưu DB
2.  Không thực hiện trim space ở đầu và cuối trường mật khẩu
3. Kiểm tra có thể đăng nhập bằng account đăng ký mới này 


"
8777,Kiểm tra không Trim space ( nếu ĐTYC không trím space trường mật khẩu), 1: Đăng ký ,Suite_common_207,1,"1. Nhập mật khẩu toàn các ký tự space
2. Các thông tin khác được nhập hợp lệ
","1. Thực hiện lưu thành công. Kiểm tra lưu đúng như case lưu DB
2.  Không thực hiện trim space ở đầu và cuối trường mật khẩu
3. Kiểm tra có thể đăng nhập bằng account đăng ký mới này 


"
8778,Kiểm tra đăng ký thành công với các trường khác thông tin là tiếng việt có dấu, 1: Đăng ký ,Suite_common_207,1,"Đảm bảo hệ thống có kết nối mạng
1. Nhập dữ liệu hợp lệ vào  các trường thông tin trong màn hình: nhập tiếng việt có dấu
2. Click [Đăng ký]
","1. Thực hiện lưu thành công. Kiểm tra lưu đúng như case lưu DB
2. Kiểm tra có thể đăng nhập bằng account đăng ký mới này 


"
8779,"Kiểm tra mật khẩu là các ký tự html, script

", 1: Đăng ký ,Suite_common_207,1,"1. Nhập kí tự :
 123231231231 
","1. Cho phép nhập và thực hiện lưu thành công
2. Kiểm tra đăng nhập thành công với mật khẩu này

"
8780,"Kiểm tra mật khẩu là ký tự đặc biệt

", 1: Đăng ký ,Suite_common_207,1,"1. Nhập kí tự :
~!@#$%^&amp;*()_+-`:;""',.?
2. Các thông tin khác được nhập hợp lệ
3. Nhấn button [Ghi lại]

","1. Cho phép nhập và thực hiện lưu thành công
2. Kiểm tra đăng nhập thành công với mật khẩu này
"
8781,"Kiểm tra yêu cầu nhập mật khẩu mạnh:
- Yêu cầu tối thiểu n ký tự
- Bao gồm chữ , số và ký tự đặc biệt

( Chú ý : chỉ đưa vào khi hệ thống có yêu cầu, khi đó không cần 2 case ký tự đặc biệt, html ở trên)", 1: Đăng ký ,Suite_common_207,1,"1. Nhập mật khẩu toàn là kí tự chữ hoặc toàn kí tự số hoặc toàn kí tự đặc biệt hoặc chỉ có 2 trong 3 loại 
2. Các thông tin khác được nhập hợp lệ","Thông báo lỗi
Set focus vào trường lỗi hoặc highlight trường lỗi.
"
8782,"Kiểm tra yêu cầu nhập mật khẩu mạnh:
- Yêu cầu tối thiểu n ký tự
- Bao gồm chữ , số và ký tự đặc biệt

( Chú ý : chỉ đưa vào khi hệ thống có yêu cầu, khi đó không cần 2 case ký tự đặc biệt, html ở trên)", 1: Đăng ký ,Suite_common_207,1,"1. Nhập mật khẩu với độ dài = 8 ký tự (Bao gồm đầy đủ cả chữ, số và kí tự đặc biệt: @#$%^&amp;*()_+~&gt;&lt;""? )
2. Các thông tin khác được nhập hợp lệ","Thực hiện thành công đăng ký thành công
Kiểm tra login thành công với tài khoản mới"
8783,"Kiểm tra yêu cầu nhập mật khẩu mạnh:
- Yêu cầu tối thiểu n ký tự
- Bao gồm chữ , số và ký tự đặc biệt

( Chú ý : chỉ đưa vào khi hệ thống có yêu cầu, khi đó không cần 2 case ký tự đặc biệt, html ở trên)", 1: Đăng ký ,Suite_common_207,1,"1. Nhập trường mật khẩu với độ dài &gt; 8 ký tự (Bao gồm đầy đủ cả chữ ( chữ hoa hoặc chữ thường hoặc gồm cả chữ hoa chữ thường), số và kí tự đặc biệt )
2. Các thông tin khác được nhập hợp lệ","Thực hiện thành công đăng ký thành công
Kiểm tra login thành công với tài khoản mới"
