ID,Tên testcase,Tên testsuite common,Mã test suite common,Trạng thái,Các bước thực hiện,Mong muốn
8165,Kiểm tra trường ngày tháng là bắt buộc nhập, 2: Kiểm tra trường ngày tháng có thể tự nhập,Suite_common_306,1,Không chọn giá trị nào cho trường ngày tháng,"1. Thông báo trường ngày tháng là bắt buộc.
2. Set focus vào trường lỗi."
8166,Kiểm tra khi trường ngày tháng không đúng định dạng., 2: Kiểm tra trường ngày tháng có thể tự nhập,Suite_common_306,1,"Nhập giá trị ngày tháng không đúng định dạng :
Kiểm tra với các định dạng sau:
'- Định đạng MM/DD/YYYY
-YYYY/DD/MM
- abcdefgh
- DD
-DD/MM
","1. Trường ngày tháng phải theo định dạng dd/mm/yyyy."" 
2. Set focus vào trường lỗi."
8167,"Kiểm tra khi trường ngày tháng có định dạng DD/MM/YYYY nhưng không hợp lệ.
", 2: Kiểm tra trường ngày tháng có thể tự nhập,Suite_common_306,1,"Nhập vào trường ngày tháng các giá trị sau:
1. Ngày DD ko hợp lệ, ngoài khoảng [1,31]; ví dụ 32/04/2009.
2. Tháng MM không hợp lệ, ngoài khoảng [1,12]; ví dụ 12/14/2009
3. Kiểm tra với các giá trị biên sau
- 31/04/1983
- 31/06/1983
- 31/09/1983
- 31/11/1983
- 30/2/1983
- 29/2/1983
4. YYYY &lt; 1000; YYYY&gt;9999
- 1/2/0999
- 1/2/99999

","1. Ngày tháng không tồn tại
2. Set focus vào trường lỗi."
8168,"Kiểm tra khi trường ngày tháng có định dạng DD/MM/YYYY hợp lệ.
", 2: Kiểm tra trường ngày tháng có thể tự nhập,Suite_common_306,1,"Kiểm tra với các giá trị sau:
-Ngày 31 tháng (1,3,5,7,8,10,12)
- 29/2/1980  
- 28/2/1983
- Ngày 30 tháng (4,6,9,11)
-Ngày 10/10/1983
- 1/2/1000
-1/2/9999   
",Ngày tháng hiển thị theo định dạng dd/mm/yyyy
8169,Kiểm tra khi giá trị ngày tháng lớn hơn ngày hiện tại, 2: Kiểm tra trường ngày tháng có thể tự nhập,Suite_common_306,1,Nhập vào textbox ngày tháng lớn hơn ngày hiện tại,"1. Thông báo Ngày tháng không được phép lớn hơn ngày hiện tại.
2. Set focus vào trường lỗi"
8170,Kiểm tra khi giá trị ngày tháng là ngày hiện tại, 2: Kiểm tra trường ngày tháng có thể tự nhập,Suite_common_306,1,Nhập vào textbox ngày tháng là ngày hiện tại,"1. Thông báo Ngày tháng không được phép là ngày hiện tại.
2. Set focus vào trường lỗi"
8171,Kiểm tra khi giá trị ngày tháng nhỏ hơn ngày hiện tại, 2: Kiểm tra trường ngày tháng có thể tự nhập,Suite_common_306,1,Nhập vào textbox ngày tháng nhỏ hơn ngày hiện tại,"1. Thông báo Ngày tháng không được phép nhỏ hơn ngày hiện tại.
2. Set focus vào trường lỗi."
8172,Băt lỗi khi trường Từ ngày lớn hơn trường Đến ngày, 2: Kiểm tra trường ngày tháng có thể tự nhập,Suite_common_306,1,Nhập giá trị cho trường Từ ngày lớn hơn trường Đến ngày,"1. Thông báo ""Giá trị Từ ngày phải nhỏ hơn hoặc bằng giá trị Đến ngày."" 
2. Set focus vào textbox Từ ngày."
8173,Kiểm tra trường Từ ngày bằng trường Đến ngày, 2: Kiểm tra trường ngày tháng có thể tự nhập,Suite_common_306,1,Nhập giá trị cho trường Từ ngày bằng trường Đến ngày,Hệ thống không báo lỗi
8174,Kiểm tra trường Từ ngày nhỏ hơn trường Đến ngày, 2: Kiểm tra trường ngày tháng có thể tự nhập,Suite_common_306,1,Nhập giá trị cho trường Từ ngày nhỏ hơn trường Đến ngày,Hệ thống không báo lỗi
