ID,Tên testcase,Tên testsuite common,Mã test suite common,Trạng thái,Các bước thực hiện,Mong muốn
9189,"Kiểm tra khi touch vào xem video khi video chưa được download về client
(Trường hợp DTYC cho phép xem online)", 2: Xem thông tin chi tiết video,Suite_common_384,1,"Pre: - Video chưa được download về client
- client đã cài đặt ứng dụng xem video
1. Touch vào xem video","- Gọi ứng dụng xem video để mở video, xem video bình thường
- Hiển thị các control player : icon pause/play/Replay; thanh thời gian current (thời gian đang xem)/max (thời gian kết thúc Video),seekbar điều chỉnh vị trí muốn xem
- Thanh tiến trình hiển thị tiến trình đã tải về máy và tiến trình đã xem tới vị trí nào "
9190,"Kiểm tra khi touch vào xem video khi video chưa được download về client
(Trường hợp DTYC cho phép xem online)", 2: Xem thông tin chi tiết video,Suite_common_384,1,"Pre: - Video chưa được download về client
- client chưa cài đặt ứng dụng xem video
1. Touch vào xem video",- Thông báo [Không tìm thấy ứng dụng xem video] (Tùy thuộc vào DTYC sẽ hiển thị thông báo tương ứng)
9191,"Kiểm tra khi touch vào xem video khi video chưa được download về client
(Trường hợp DTYC yêu cầu download về client rồi mới xem)", 2: Xem thông tin chi tiết video,Suite_common_384,1,"Pre: - Video chưa được download về client
- client đã cài đặt ứng dụng xem video
1. Touch vào xem video","- Thực hiện download video về client
- Gọi ứng dụng xem video để mở video, xem video bình thường
- Hiển thị các control player : icon pause/play/Replay; thanh thời gian current (thời gian đang xem)/max (thời gian kết thúc Video),seekbar điều chỉnh vị trí muốn xem
- Thanh tiến trình hiển thị tiến trình đã xem tới vị trí nào "
9192,"Kiểm tra khi touch vào xem video khi video chưa được download về client
(Trường hợp DTYC yêu cầu download về client rồi mới xem)", 2: Xem thông tin chi tiết video,Suite_common_384,1,"Pre: - Video chưa được download về client
- client chưa cài đặt ứng dụng xem video
1. Touch vào xem video","- Thực hiện download video về client
- Thông báo [Không tìm thấy ứng dụng xem video] (Tùy thuộc vào DTYC sẽ hiển thị thông báo tương ứng)"
9193,"Kiểm tra khi touch vào xem video khi video đã được download về client 
", 2: Xem thông tin chi tiết video,Suite_common_384,1,"Pre: - Video đã được download về client
- client đã cài đặt ứng dụng xem video
1. Touch vào xem video","- Không thực hiện download về client
- Gọi ứng dụng xem video để mở video vừa chọn
- Hiển thị các control player : icon pause/play/Replay; thanh thời gian current (thời gian đang xem)/max (thời gian kết thúc Video),seekbar điều chỉnh vị trí muốn xem
- Thanh tiến trình hiển thị tiến trình đã xem tới vị trí nào "
9194,"Kiểm tra khi touch vào xem video khi video đã được download về client 
", 2: Xem thông tin chi tiết video,Suite_common_384,1,"Pre: - Video đã được download về client
- client chưa cài đặt ứng dụng xem video
1. Touch vào xem video","- Không thực hiện download về client
- Thông báo [Không tìm thấy ứng dụng xem video] (Tùy thuộc vào DTYC sẽ hiển thị thông báo tương ứng)"
9195,Kiểm tra xem video với các định dạng file khác nhau, 2: Xem thông tin chi tiết video,Suite_common_384,1,"Tuỳ vào DTYC cho phép xem các định dạng file nào để chuẩn bị các định dạng file video cho phép: .flv, .3gp, .avi, .mp4, .asf, .mov, .rm, .vob, .wmv, ...
(Chú ý test với từng định dạng file DTYC cho phép)
1. Touch vào xem video",- Xem video bình thường
9196,Kiểm tra ẩn/hiện các control trong video, 2: Xem thông tin chi tiết video,Suite_common_384,1,1. Touch vào xem video,"- Gọi ứng dụng xem video
- Hiển thị đúng chương trình video được chọn xem và thực hiện play nội dung chương trình.
- Hiển thị các control player : icon pause/play/Replay; thanh thời gian current (thời gian đang xem)/max (thời gian kết thúc Video),seekbar điều chỉnh vị trí muốn xem
"
9197,Kiểm tra ẩn/hiện các control trong video, 2: Xem thông tin chi tiết video,Suite_common_384,1,2. Để màn hình 1 thời gian (khoảng 5s), Ẩn các control 
9198,Kiểm tra ẩn/hiện các control trong video, 2: Xem thông tin chi tiết video,Suite_common_384,1,3. Touch lại vào màn hình,Hiển thị các control 
